{0.4678032523295266, -0.032527109588121716 - 0.061179747447883626*I, 0.031057255068669524 - 0.12292403692944526*I, 0.05505349706638532 + 0.06039997670704692*I}	{-0.032527109588121716 + 0.061179747447883626*I, 0.17446576113644843, 0.14356102260818104 + 0.0015977034855483166*I, 0.11894250988530199 + 0.01655260966578637*I}	{0.031057255068669524 + 0.12292403692944526*I, 0.14356102260818104 - 0.0015977034855483166*I, 0.1642213772996932, 0.11718622230436572 + 0.012468373073053608*I}	{0.05505349706638532 - 0.06039997670704692*I, 0.11894250988530199 - 0.01655260966578637*I, 0.11718622230436572 - 0.012468373073053608*I, 0.1935096092343318}
{0.0904277941927066, -0.15632324987261545 - 0.03421864753280165*I, 0.011150247782023687 + 0.07283657778773783*I, 0.031115324147630255 + 0.0956871592081759*I}	{-0.15632324987261545 + 0.03421864753280165*I, 0.620542353298269, -0.04528518211049624 - 0.031058038800635228*I, -0.030624540143553383 - 0.07830550973597811*I}	{0.011150247782023687 - 0.07283657778773783*I, -0.04528518211049624 + 0.031058038800635228*I, 0.11395135851605687, 0.10031096471011032 + 0.002790789510868252*I}	{0.031115324147630255 - 0.0956871592081759*I, -0.030624540143553383 + 0.07830550973597811*I, 0.10031096471011032 - 0.002790789510868252*I, 0.17507849399296743}
{0.2249196229899901, 0.1036647746965639 - 0.0948045088987429*I, 0.0027176260799075167 - 0.13896671001360233*I, -0.03901876969343365 - 0.08803227501041955*I}	{0.1036647746965639 + 0.0948045088987429*I, 0.20303303042579962, 0.14088501046150131 - 0.1391777262303458*I, 0.1077992472922135 - 0.04119415683075509*I}	{0.0027176260799075167 + 0.13896671001360233*I, 0.14088501046150131 + 0.1391777262303458*I, 0.30933178651395077, 0.17387718063407215 + 0.049738739374822545*I}	{-0.03901876969343365 + 0.08803227501041955*I, 0.1077992472922135 + 0.04119415683075509*I, 0.17387718063407215 - 0.049738739374822545*I, 0.26271556007025965}
{0.5327206913047047, 0.032552992564705424 - 0.19016800240832155*I, 0.03904027996912704 + 0.017575178473668622*I, -0.060180420261693186 - 0.12575414372789764*I}	{0.032552992564705424 + 0.19016800240832155*I, 0.1980030845322854, -0.07768328267562803 - 0.08281852551848358*I, 0.11719945727213762 - 0.05711819549194931*I}	{0.03904027996912704 - 0.017575178473668622*I, -0.07768328267562803 + 0.08281852551848358*I, 0.16831331604943073, -0.0463529675010661 + 0.08022999130416272*I}	{-0.060180420261693186 + 0.12575414372789764*I, 0.11719945727213762 + 0.05711819549194931*I, -0.0463529675010661 - 0.08022999130416272*I, 0.1009629081135791}
{0.27905912450641046, 0.0526678156040656 + 0.06671305931080679*I, -0.11968002158245472 - 0.04314688230966045*I, -0.034745669349272194 + 0.16651642949143675*I}	{0.0526678156040656 - 0.06671305931080679*I, 0.17788882283966068, -0.02433336773377464 - 0.02896557923827694*I, 0.03209381849632241 + 0.042389254131765794*I}	{-0.11968002158245472 + 0.04314688230966045*I, -0.02433336773377464 + 0.02896557923827694*I, 0.31796262286268767, 0.13098167191199808 - 0.1628544639860901*I}	{-0.034745669349272194 - 0.16651642949143675*I, 0.03209381849632241 - 0.042389254131765794*I, 0.13098167191199808 + 0.1628544639860901*I, 0.22508942979124125}
{0.1902388786703068, 0.06071521386500606 + 0.1068031720638997*I, 0.05210114044773774 - 0.09258221520155445*I, -0.0480978270806072 - 0.028981173757021604*I}	{0.06071521386500606 - 0.1068031720638997*I, 0.1638204843010615, 0.03575091420204538 - 0.011536742781130952*I, -0.05486719712299903 - 0.0343981987905188*I}	{0.05210114044773774 + 0.09258221520155445*I, 0.03575091420204538 + 0.011536742781130952*I, 0.3023562302840714, -0.05419228217920992 - 0.042896263204004574*I}	{-0.0480978270806072 + 0.028981173757021604*I, -0.05486719712299903 + 0.0343981987905188*I, -0.05419228217920992 + 0.042896263204004574*I, 0.3435844067445602}
{0.2952415364202811, 0.08182515378404615 - 0.07962896125784062*I, 0.08569849796678765 + 0.1692065447158587*I, 0.05716033708181125 - 0.020994474303064115*I}	{0.08182515378404615 + 0.07962896125784062*I, 0.19155292075844482, 0.0157983043696337 + 0.16481219493661167*I, 0.014979743733200924 + 0.07523237098919176*I}	{0.08569849796678765 - 0.1692065447158587*I, 0.0157983043696337 - 0.16481219493661167*I, 0.4069343552950558, 0.1474256551801209 + 0.0372267903522418*I}	{0.05716033708181125 + 0.020994474303064115*I, 0.014979743733200924 - 0.07523237098919176*I, 0.1474256551801209 - 0.0372267903522418*I, 0.1062711875262182}
{0.29260488419155234, 0.00508182490707037 + 0.08310510855892675*I, 0.11076686675882141 - 0.17473034401746293*I, -0.0320535785102231 - 0.01943691432337791*I}	{0.00508182490707037 - 0.08310510855892675*I, 0.0838934897664502, -0.0630461012505252 - 0.08447544872349395*I, 0.006067590694268716 + 0.11016381953009569*I}	{0.11076686675882141 + 0.17473034401746293*I, -0.0630461012505252 + 0.08447544872349395*I, 0.38411588159603655, -0.08246895297469264 - 0.1269312183007144*I}	{-0.0320535785102231 + 0.01943691432337791*I, 0.006067590694268716 - 0.11016381953009569*I, -0.08246895297469264 + 0.1269312183007144*I, 0.23938574444596114}
{0.2897018524051775, -0.04989311550586471 - 0.2410136147359277*I, -0.008274512178916662 - 0.051730836805433264*I, -0.05494757238932509 - 0.08573796855454596*I}	{-0.04989311550586471 + 0.2410136147359277*I, 0.5606386775732063, -0.017713679569700328 + 0.05380069290485395*I, 0.040360934233287064 - 0.09470766881862937*I}	{-0.008274512178916662 + 0.051730836805433264*I, -0.017713679569700328 - 0.05380069290485395*I, 0.07530064160874196, -0.0077076373320077 + 0.015901342875769692*I}	{-0.05494757238932509 + 0.08573796855454596*I, 0.040360934233287064 + 0.09470766881862937*I, -0.0077076373320077 - 0.015901342875769692*I, 0.07435882841287414}
{0.19615540299490963, 0.02710835834351637 - 0.10546627922662502*I, -0.10445455809197433 + 0.08167809276214064*I, -0.058160186163308966 + 0.08627712594406864*I}	{0.02710835834351637 + 0.10546627922662502*I, 0.3765171710881543, -0.11332235765359422 + 0.0425758925501701*I, -0.06820435122191987 + 0.1383706598912876*I}	{-0.10445455809197433 - 0.08167809276214064*I, -0.11332235765359422 - 0.0425758925501701*I, 0.18940204602420554, 0.0503704045669976 - 0.046727036415925204*I}	{-0.058160186163308966 - 0.08627712594406864*I, -0.06820435122191987 - 0.1383706598912876*I, 0.0503704045669976 + 0.046727036415925204*I, 0.2379253798927307}
